[06-Oct-2013 19:16:18 Asia/Taipei] PHP Parse error:  syntax error, unexpected '=', expecting ',' or ';' in D:\PHP\TWAMPd\htdocs\Listpro.php on line 18
[12-Nov-2013 09:33:36 Asia/Taipei] PHP Warning:  move_uploaded_file(frank_lgh/2013-11/AdditermData/110296_0_1384220016.20110507母親節+淡水高爾夫球場+一滴水+美人塾): failed to open stream: Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 608
[12-Nov-2013 09:33:36 Asia/Taipei] PHP Warning:  move_uploaded_file(): Unable to move 'D:\TMP\php3E2.tmp' to 'frank_lgh/2013-11/AdditermData/110296_0_1384220016.20110507母親節+淡水高爾夫球場+一滴水+美人塾' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 608
[12-Nov-2013 09:33:36 Asia/Taipei] PHP Warning:  file_get_contents(frank_lgh/2013-11/AdditermData/110296_0_1384220016.20110507母親節+淡水高爾夫球場+一滴水+美人塾): failed to open stream: Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 44
[12-Nov-2013 09:34:04 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-11/AdditermData/110296_0_1384220016.20110507母親節+淡水高爾夫球場+一滴水+美人塾): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 200
[12-Nov-2013 17:05:24 Asia/Taipei] PHP Parse error:  syntax error, unexpected '}' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 436
[13-Nov-2013 08:07:14 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-11/AdditermData/110334_0_1384301152.png&lt;/a&gt;): Invalid argument in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 206
[13-Nov-2013 12:05:55 Asia/Taipei] PHP Fatal error:  Uncaught exception 'RuntimeException' with message 'Could not render output' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php:69
Stack trace:
#0 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(50): Math->render(Object(Stack))
#1 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(12): Math->run(Object(Stack))
#2 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php(259): Math->evaluate(NULL)
#3 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php(64): update_modify_with_multi_file()
#4 D:\PHP\TWAMPd\htdocs\ListproDevelop.php(58): require_once('D:\PHP\TWAMPd\h...')
#5 {main}
  thrown in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php on line 69
[13-Nov-2013 12:07:09 Asia/Taipei] PHP Fatal error:  Uncaught exception 'RuntimeException' with message 'Could not render output' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php:69
Stack trace:
#0 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(50): Math->render(Object(Stack))
#1 D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php(12): Math->run(Object(Stack))
#2 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php(259): Math->evaluate(NULL)
#3 D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php(64): update_modify_with_multi_file()
#4 D:\PHP\TWAMPd\htdocs\ListproDevelop.php(58): require_once('D:\PHP\TWAMPd\h...')
#5 {main}
  thrown in D:\PHP\TWAMPd\htdocs\libraryDevelop\Math.php on line 69
[13-Nov-2013 12:11:45 Asia/Taipei] PHP Parse error:  syntax error, unexpected '{', expecting '(' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 260
[13-Nov-2013 12:15:51 Asia/Taipei] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR), expecting ',' or ';' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 260
[13-Nov-2013 12:16:15 Asia/Taipei] PHP Parse error:  syntax error, unexpected ';' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 260
[13-Nov-2013 12:16:37 Asia/Taipei] PHP Parse error:  syntax error, unexpected ';' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 260
[13-Nov-2013 12:25:07 Asia/Taipei] PHP Fatal error:  Call to a member function operate() on a non-object in D:\PHP\TWAMPd\htdocs\libraryDevelop\Expressions.php on line 59
[13-Nov-2013 12:26:51 Asia/Taipei] PHP Fatal error:  Call to a member function operate() on a non-object in D:\PHP\TWAMPd\htdocs\libraryDevelop\Expressions.php on line 59
[13-Nov-2013 12:27:27 Asia/Taipei] PHP Fatal error:  Call to a member function operate() on a non-object in D:\PHP\TWAMPd\htdocs\libraryDevelop\Expressions.php on line 59
[13-Nov-2013 12:28:22 Asia/Taipei] PHP Fatal error:  Call to a member function operate() on a non-object in D:\PHP\TWAMPd\htdocs\libraryDevelop\Expressions.php on line 59
[13-Nov-2013 12:34:22 Asia/Taipei] PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 588
[13-Nov-2013 15:10:02 Asia/Taipei] PHP Fatal error:  Cannot redeclare tolinkaddressLocal() (previously declared in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php:695) in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 719
[14-Nov-2013 11:40:09 Asia/Taipei] PHP Parse error:  syntax error, unexpected '{' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 418
[15-Nov-2013 08:36:42 Asia/Taipei] PHP Parse error:  syntax error, unexpected 'print_r' (T_STRING) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 205
[15-Nov-2013 09:06:01 Asia/Taipei] PHP Parse error:  syntax error, unexpected '"&Pricefilter=0&Datefilter=6"' (T_CONSTANT_ENCAPSED_STRING) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 789
[15-Nov-2013 10:00:20 Asia/Taipei] PHP Parse error:  syntax error, unexpected '=' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php on line 21
[15-Nov-2013 10:09:22 Asia/Taipei] PHP Parse error:  syntax error, unexpected 'Location' (T_STRING) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php on line 31
[15-Nov-2013 10:14:54 Asia/Taipei] PHP Parse error:  syntax error, unexpected ',' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 208
[15-Nov-2013 10:55:56 Asia/Taipei] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 544
[15-Nov-2013 10:59:49 Asia/Taipei] PHP Parse error:  syntax error, unexpected 'for' (T_FOR) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 542
[15-Nov-2013 11:13:15 Asia/Taipei] PHP Parse error:  syntax error, unexpected '=', expecting ',' or ';' in D:\PHP\TWAMPd\htdocs\ListproDevelop.php on line 35
[15-Nov-2013 11:16:57 Asia/Taipei] PHP Parse error:  syntax error, unexpected 'elseif' (T_ELSEIF) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php on line 48
[15-Nov-2013 11:17:23 Asia/Taipei] PHP Parse error:  syntax error, unexpected 'elseif' (T_ELSEIF) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControl.php on line 48
[15-Nov-2013 11:30:21 Asia/Taipei] PHP Warning:  Division by zero in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 850
[15-Nov-2013 11:30:21 Asia/Taipei] PHP Warning:  Division by zero in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 850
[15-Nov-2013 11:31:41 Asia/Taipei] PHP Warning:  Division by zero in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 850
[15-Nov-2013 11:31:41 Asia/Taipei] PHP Warning:  Division by zero in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 850
[15-Nov-2013 11:32:51 Asia/Taipei] PHP Warning:  Division by zero in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 851
[15-Nov-2013 11:32:51 Asia/Taipei] PHP Warning:  Division by zero in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 851
[15-Nov-2013 11:33:02 Asia/Taipei] PHP Warning:  Division by zero in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 851
[15-Nov-2013 11:33:02 Asia/Taipei] PHP Warning:  Division by zero in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 851
[15-Nov-2013 11:34:31 Asia/Taipei] PHP Warning:  Division by zero in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 851
[15-Nov-2013 11:34:31 Asia/Taipei] PHP Warning:  Division by zero in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 851
[15-Nov-2013 11:43:17 Asia/Taipei] PHP Parse error:  syntax error, unexpected '=' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 864
[15-Nov-2013 11:47:31 Asia/Taipei] PHP Parse error:  syntax error, unexpected '$projectlink' (T_VARIABLE) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 858
[15-Nov-2013 12:07:05 Asia/Taipei] PHP Fatal error:  Function name must be a string in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 538
[15-Nov-2013 12:08:39 Asia/Taipei] PHP Fatal error:  Function name must be a string in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 538
[15-Nov-2013 12:08:48 Asia/Taipei] PHP Fatal error:  Function name must be a string in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 538
[15-Nov-2013 12:10:01 Asia/Taipei] PHP Warning:  mysql_data_seek(): Offset 231 is invalid for MySQL result index 11 (or the query data is unbuffered) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 548
[15-Nov-2013 12:10:10 Asia/Taipei] PHP Warning:  mysql_data_seek(): Offset 231 is invalid for MySQL result index 11 (or the query data is unbuffered) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 548
[15-Nov-2013 12:10:13 Asia/Taipei] PHP Warning:  mysql_data_seek(): Offset 231 is invalid for MySQL result index 11 (or the query data is unbuffered) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 548
[15-Nov-2013 12:10:28 Asia/Taipei] PHP Warning:  mysql_data_seek(): Offset 231 is invalid for MySQL result index 11 (or the query data is unbuffered) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 548
[15-Nov-2013 12:10:30 Asia/Taipei] PHP Warning:  mysql_data_seek(): Offset 231 is invalid for MySQL result index 11 (or the query data is unbuffered) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 548
[15-Nov-2013 12:10:47 Asia/Taipei] PHP Warning:  mysql_data_seek() expects parameter 2 to be long, string given in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 548
[15-Nov-2013 12:11:31 Asia/Taipei] PHP Warning:  mysql_data_seek() expects parameter 2 to be long, string given in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 548
[15-Nov-2013 12:11:31 Asia/Taipei] PHP Warning:  mysql_data_seek() expects parameter 2 to be long, string given in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 548
[15-Nov-2013 12:11:57 Asia/Taipei] PHP Warning:  mysql_data_seek(): Offset 152 is invalid for MySQL result index 11 (or the query data is unbuffered) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 548
[15-Nov-2013 12:12:02 Asia/Taipei] PHP Warning:  mysql_data_seek() expects parameter 2 to be long, string given in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 548
[15-Nov-2013 12:12:58 Asia/Taipei] PHP Warning:  mysql_data_seek() expects parameter 2 to be long, string given in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 548
[15-Nov-2013 12:13:07 Asia/Taipei] PHP Warning:  mysql_data_seek() expects parameter 2 to be long, string given in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 548
[15-Nov-2013 12:13:12 Asia/Taipei] PHP Warning:  mysql_data_seek() expects parameter 2 to be long, string given in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 548
[15-Nov-2013 12:13:14 Asia/Taipei] PHP Warning:  mysql_data_seek() expects parameter 2 to be long, string given in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 548
[15-Nov-2013 12:13:36 Asia/Taipei] PHP Warning:  mysql_data_seek() expects parameter 2 to be long, string given in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 548
[15-Nov-2013 12:13:40 Asia/Taipei] PHP Warning:  mysql_data_seek() expects parameter 2 to be long, string given in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 548
[15-Nov-2013 13:13:18 Asia/Taipei] PHP Fatal error:  Cannot redeclare getfilterset() (previously declared in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php:843) in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 889
[15-Nov-2013 13:15:04 Asia/Taipei] PHP Parse error:  syntax error, unexpected '=', expecting ')' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 861
[15-Nov-2013 13:20:58 Asia/Taipei] PHP Warning:  mysql_data_seek(): Offset 231 is invalid for MySQL result index 11 (or the query data is unbuffered) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 529
[15-Nov-2013 13:21:07 Asia/Taipei] PHP Warning:  mysql_data_seek(): Offset 281 is invalid for MySQL result index 11 (or the query data is unbuffered) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 529
[15-Nov-2013 13:21:11 Asia/Taipei] PHP Warning:  mysql_data_seek(): Offset 281 is invalid for MySQL result index 11 (or the query data is unbuffered) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 529
[15-Nov-2013 13:21:16 Asia/Taipei] PHP Warning:  mysql_data_seek(): Offset 281 is invalid for MySQL result index 11 (or the query data is unbuffered) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 529
[15-Nov-2013 13:22:18 Asia/Taipei] PHP Warning:  mysql_data_seek() expects parameter 2 to be long, string given in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 529
[15-Nov-2013 13:23:28 Asia/Taipei] PHP Warning:  mysql_data_seek() expects parameter 2 to be long, string given in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 529
[15-Nov-2013 13:23:43 Asia/Taipei] PHP Warning:  mysql_data_seek() expects parameter 2 to be long, string given in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 529
[15-Nov-2013 13:23:43 Asia/Taipei] PHP Warning:  mysql_data_seek() expects parameter 2 to be long, string given in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 529
[15-Nov-2013 13:23:53 Asia/Taipei] PHP Warning:  mysql_data_seek() expects parameter 2 to be long, string given in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 529
[15-Nov-2013 13:23:59 Asia/Taipei] PHP Warning:  mysql_data_seek() expects parameter 2 to be long, string given in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 529
[15-Nov-2013 13:23:59 Asia/Taipei] PHP Warning:  mysql_data_seek() expects parameter 2 to be long, string given in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 529
[15-Nov-2013 13:24:18 Asia/Taipei] PHP Warning:  mysql_data_seek() expects parameter 2 to be long, string given in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 529
[15-Nov-2013 13:33:03 Asia/Taipei] PHP Parse error:  syntax error, unexpected end of file in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 921
[15-Nov-2013 13:46:55 Asia/Taipei] PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 530
[15-Nov-2013 13:47:13 Asia/Taipei] PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 530
[15-Nov-2013 13:48:54 Asia/Taipei] PHP Warning:  mysql_data_seek() expects parameter 2 to be long, string given in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 531
[15-Nov-2013 13:53:26 Asia/Taipei] PHP Parse error:  syntax error, unexpected '[' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 528
[15-Nov-2013 13:55:38 Asia/Taipei] PHP Parse error:  syntax error, unexpected ')' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 845
[15-Nov-2013 14:02:52 Asia/Taipei] PHP Parse error:  syntax error, unexpected ',' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 868
[15-Nov-2013 15:17:34 Asia/Taipei] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 259
[15-Nov-2013 15:18:01 Asia/Taipei] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 259
[15-Nov-2013 15:25:44 Asia/Taipei] PHP Warning:  mysql_data_seek(): Offset 0 is invalid for MySQL result index 11 (or the query data is unbuffered) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 549
[15-Nov-2013 15:31:38 Asia/Taipei] PHP Parse error:  syntax error, unexpected '$showrowbegin' (T_VARIABLE), expecting ',' or ';' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 860
[15-Nov-2013 15:31:56 Asia/Taipei] PHP Parse error:  syntax error, unexpected '>' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 864
[15-Nov-2013 15:37:19 Asia/Taipei] PHP Warning:  mysql_data_seek(): Offset 90 is invalid for MySQL result index 11 (or the query data is unbuffered) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 549
[15-Nov-2013 15:37:29 Asia/Taipei] PHP Warning:  mysql_data_seek(): Offset 90 is invalid for MySQL result index 11 (or the query data is unbuffered) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 549
[15-Nov-2013 15:38:11 Asia/Taipei] PHP Warning:  mysql_data_seek(): Offset 90 is invalid for MySQL result index 11 (or the query data is unbuffered) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 549
[15-Nov-2013 15:38:20 Asia/Taipei] PHP Warning:  mysql_data_seek(): Offset 90 is invalid for MySQL result index 11 (or the query data is unbuffered) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 549
[15-Nov-2013 15:38:26 Asia/Taipei] PHP Warning:  mysql_data_seek(): Offset 90 is invalid for MySQL result index 11 (or the query data is unbuffered) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 549
[15-Nov-2013 15:38:28 Asia/Taipei] PHP Warning:  mysql_data_seek(): Offset 90 is invalid for MySQL result index 11 (or the query data is unbuffered) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 549
[15-Nov-2013 15:38:30 Asia/Taipei] PHP Warning:  mysql_data_seek(): Offset 120 is invalid for MySQL result index 11 (or the query data is unbuffered) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 549
[15-Nov-2013 15:38:33 Asia/Taipei] PHP Warning:  mysql_data_seek(): Offset 180 is invalid for MySQL result index 11 (or the query data is unbuffered) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 549
[15-Nov-2013 15:39:01 Asia/Taipei] PHP Warning:  mysql_data_seek(): Offset 180 is invalid for MySQL result index 11 (or the query data is unbuffered) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 549
[15-Nov-2013 15:39:05 Asia/Taipei] PHP Warning:  mysql_data_seek(): Offset 180 is invalid for MySQL result index 11 (or the query data is unbuffered) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 549
[15-Nov-2013 15:39:15 Asia/Taipei] PHP Warning:  mysql_data_seek(): Offset 90 is invalid for MySQL result index 11 (or the query data is unbuffered) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 549
[15-Nov-2013 15:39:17 Asia/Taipei] PHP Warning:  mysql_data_seek(): Offset 90 is invalid for MySQL result index 11 (or the query data is unbuffered) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 549
[15-Nov-2013 15:39:19 Asia/Taipei] PHP Warning:  mysql_data_seek(): Offset 120 is invalid for MySQL result index 11 (or the query data is unbuffered) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 549
[15-Nov-2013 15:39:21 Asia/Taipei] PHP Warning:  mysql_data_seek(): Offset 180 is invalid for MySQL result index 11 (or the query data is unbuffered) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 549
[15-Nov-2013 15:39:22 Asia/Taipei] PHP Warning:  mysql_data_seek(): Offset 180 is invalid for MySQL result index 11 (or the query data is unbuffered) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 549
[15-Nov-2013 15:39:29 Asia/Taipei] PHP Warning:  mysql_data_seek(): Offset 180 is invalid for MySQL result index 11 (or the query data is unbuffered) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 549
[15-Nov-2013 15:40:11 Asia/Taipei] PHP Warning:  mysql_data_seek(): Offset 90 is invalid for MySQL result index 11 (or the query data is unbuffered) in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 549
[15-Nov-2013 18:55:11 Asia/Taipei] PHP Warning:  Division by zero in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 867
[15-Nov-2013 18:55:21 Asia/Taipei] PHP Warning:  Division by zero in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 867
[15-Nov-2013 18:55:32 Asia/Taipei] PHP Warning:  Division by zero in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 867
[15-Nov-2013 18:55:32 Asia/Taipei] PHP Warning:  Division by zero in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 867
[15-Nov-2013 19:58:47 Asia/Taipei] PHP Warning:  Division by zero in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 871
[16-Nov-2013 20:05:59 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-11/AdditermData/110446_0_1384603444.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[16-Nov-2013 20:06:46 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-11/AdditermData/110446_0_1384603592.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[16-Nov-2013 21:07:46 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-11/AdditermData/110436_0_1384555869.png): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 186
[17-Nov-2013 08:50:38 Asia/Taipei] PHP Parse error:  syntax error, unexpected '.=' (T_CONCAT_EQUAL), expecting '}' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 348
[17-Nov-2013 08:50:42 Asia/Taipei] PHP Parse error:  syntax error, unexpected '.=' (T_CONCAT_EQUAL), expecting '}' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 348
[17-Nov-2013 08:50:45 Asia/Taipei] PHP Parse error:  syntax error, unexpected '.=' (T_CONCAT_EQUAL), expecting '}' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 348
[17-Nov-2013 08:51:22 Asia/Taipei] PHP Parse error:  syntax error, unexpected '.=' (T_CONCAT_EQUAL), expecting '}' in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 348
[17-Nov-2013 09:07:54 Asia/Taipei] PHP Fatal error:  Call to undefined function ProcessNotTgaNote() in D:\PHP\TWAMPd\htdocs\libraryDevelop\Listprolib.php on line 353
[18-Nov-2013 15:12:13 Asia/Taipei] PHP Warning:  Division by zero in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 870
[18-Nov-2013 15:12:16 Asia/Taipei] PHP Warning:  Division by zero in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 870
[18-Nov-2013 22:23:21 Asia/Taipei] PHP Fatal error:  Call to undefined function krumo() in D:\PHP\TWAMPd\htdocs\ListproDevelop.php on line 5
[18-Nov-2013 22:26:18 Asia/Taipei] PHP Fatal error:  Call to undefined function krumo() in D:\PHP\TWAMPd\htdocs\ListproDevelop.php on line 6
[18-Nov-2013 22:27:35 Asia/Taipei] PHP Fatal error:  Call to undefined function krumo() in D:\PHP\TWAMPd\htdocs\ListproDevelop.php on line 6
[18-Nov-2013 22:35:00 Asia/Taipei] PHP Warning:  session_start(): Cannot send session cache limiter - headers already sent (output started at D:\PHP\TWAMPd\htdocs\krumo_0.2.1a_PHP5-Only\class.krumo.php:717) in D:\PHP\TWAMPd\htdocs\ListproDevelop.php on line 7
[19-Nov-2013 20:16:53 Asia/Taipei] PHP Parse error:  syntax error, unexpected 'additerm' (T_STRING), expecting ',' or ';' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproFrontEnd.php on line 9
[19-Nov-2013 20:18:07 Asia/Taipei] PHP Parse error:  syntax error, unexpected 'additerm' (T_STRING), expecting ',' or ';' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproFrontEnd.php on line 9
[20-Nov-2013 07:56:17 Asia/Taipei] PHP Warning:  include(krumo_0.2.1a_PHP5-Only/class.krumo.php): failed to open stream: No such file or directory in D:\PHP\TWAMPd\htdocs\ListproDevelop.php on line 48
[20-Nov-2013 07:56:17 Asia/Taipei] PHP Warning:  include(): Failed opening 'krumo_0.2.1a_PHP5-Only/class.krumo.php' for inclusion (include_path='.;') in D:\PHP\TWAMPd\htdocs\ListproDevelop.php on line 48
[20-Nov-2013 08:15:50 Asia/Taipei] PHP Warning:  unlink(frank_lgh/2013-11/AdditermData/110431_17_1384745918.jpg): No such file or directory in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproControlLib.php on line 192
[20-Nov-2013 10:48:05 Asia/Taipei] PHP Parse error:  syntax error, unexpected '[' in D:\PHP\TWAMPd\htdocs\libraryDevelop\ListproShowLib.php on line 894
